average,0,1,2,3
0,1.711728047558477,-1.6353797145840767,0.6010623881561912,0.32258927886940547
0.1,1.505209380412215,-1.279033811657893,0.5059925259480897,0.26783190529758555
0.2,1.3167684124412282,-0.9633452104863732,0.42596271434075395,0.22061408370438926
0.30000000000000004,1.1455510001322247,-0.6860990800160462,0.3599502746199874,0.1805978052638326
0.4,0.9907029999719159,-0.4450805891934434,0.3069325280715947,0.14744506114993172
0.5,0.8513702684470107,-0.23807490696509448,0.2658867959813802,0.12081784253670275
0.6000000000000001,0.7266986620442191,-0.06286720227752901,0.2357903996351478,0.10037814059816172
0.7000000000000001,0.6158340372502509,0.08275735592272199,0.21562066031870208,0.08578794650832477
0.8,0.5179222505518157,0.201013598689129,0.20435489931784723,0.076709251441208
0.9,0.4321091584356236,0.29411635707516165,0.20097043791838737,0.07280404657082751
1,0.35754061738838405,0.36428046213428983,0.20444459740612686,0.07373432307119934
1.1,0.2933624838968069,0.4137207449199837,0.21375469906686997,0.07916207211633965
1.2000000000000002,0.23872061444760204,0.4446520364857127,0.22787806418642098,0.08874928488026453
1.3,0.19276086552747926,0.459289167884947,0.245792014050584,0.10215795253699006
1.4000000000000001,0.15462909362314825,0.4598469701711562,0.2664738699451635,0.11905006626053233
1.5,0.1234711552213188,0.44854027439781047,0.28890095315596354,0.13908761722490742
1.6,0.09843290680870062,0.4275839116183795,0.31205058496878857,0.16193259660413156
1.7000000000000002,0.07866020487200362,0.39919271288633323,0.3349000866694427,0.18724699557222066
1.8,0.06329890589793752,0.3655815092551415,0.3564267795437302,0.21469280530319093
1.9000000000000001,0.051494866373212066,0.32896513177827424,0.37560798487745545,0.24393201697105846
2,0.0423939427845371,0.2915584115092013,0.39142102395642253,0.27462662174983926
2.1,0.035141991618622304,0.2555761795013925,0.4028432180664358,0.3064386108135496
2.2,0.02888486936217753,0.22323326680831765,0.40885188849329956,0.33902997533620555
2.3000000000000003,0.022768432501912548,0.1967445044834468,0.408424356522818,0.372062706491823
2.4000000000000004,0.015938537524537097,0.17832472358024976,0.40053794344079546,0.4051987954544182
2.5,0.007541040916761027,0.17018875515219645,0.38416997053303603,0.4381002333980071
