houseid,personid,trpmiles,trippurp
40567915,01,0.849,HBSOCREC
30224529,01,2.972,HBW
30241157,02,2.953,HBSHOP
40092357,02,3.135,HBW
30168492,03,13.196,HBO
40780829,02,2.827,NHB
30230103,03,5.77,HBO
40150394,02,5.704,HBSHOP
40603453,01,1.849,HBO
40028477,01,1.649,HBO
30444089,03,3.857,NHB
40361244,02,0.27,NHB
40584415,01,2.789,HBSHOP
30525438,01,2.627,HBSOCREC
30362495,01,43.948,HBW
40038580,01,11.353,NHB
40337554,01,12.493,HBSHOP
30196762,01,16.273,NHB
30048926,03,5.876,HBW
30236709,01,9.122,NHB
40626941,01,13.903,HBO
30167023,02,13.973,HBSOCREC
40031331,01,2.251,HBO
40682834,01,0.307,HBO
40158467,02,5.645,HBW
30326291,02,8.409,HBW
30505731,01,3.067,HBO
40073941,03,16.429,NHB
30379752,01,5.299,HBO
30152560,02,17.111,HBW
30310763,01,2.921,HBO
30170380,02,8.927,HBO
40227365,02,1.775,HBO
30491020,02,2.323,HBO
30243060,01,4.173,HBSHOP
30316904,01,21.663,NHB
30075680,01,1.596,NHB
30010723,03,3.927,HBW
40313564,02,7.829,HBO
30277995,01,2.979,HBSHOP
40305835,01,0.962,HBSHOP
30098340,02,3.216,HBO
30113964,02,11.323,HBW
30057992,04,2.582,HBSOCREC
40284716,01,5.417,HBW
40176510,01,1.024,NHB
30253620,02,12.339,HBSHOP
30418295,01,4.411,HBSHOP
30400070,01,0.576,NHB
40165700,01,1.653,HBSHOP
30282701,01,1.115,NHB
40498891,02,6.215,HBO
30193488,01,6.231,NHB
40282006,02,8.857,HBW
40583253,04,3.628,HBO
30413936,01,14.846,NHB
30253316,02,0.421,NHB
40088869,02,7.64,HBO
40179767,02,30.768,NHB
30131835,02,3.704,NHB
30356620,02,5.164,HBW
30549792,01,2.068,HBO
30411052,01,28.546,HBSOCREC
30157929,04,1.549,HBO
30533304,03,0.861,HBO
40488746,01,17.82,HBO
30026098,01,4.939,NHB
40380738,05,3.476,HBW
30387697,01,9.601,HBSHOP
30279245,01,1.219,NHB
30525470,01,2.478,HBSHOP
40054488,02,54.07,NHB
40024030,01,9.97,HBSHOP
30380505,01,9.894,HBW
30062524,01,31.718,HBW
40151031,01,1.958,NHB
30259191,02,18.7,HBSHOP
30361958,02,0.886,NHB
30232404,04,5.412,NHB
30041885,04,3.844,HBO
30547577,01,7.224,NHB
30524101,04,3.072,NHB
40358937,03,1.321,HBO
30020018,02,18.144,HBSOCREC
40746083,03,5.394,HBSHOP
40280684,04,2.513,HBSOCREC
30094158,03,32.537,HBW
30380895,05,17.813,NHB
30080361,03,1.235,HBO
30330996,03,0.565,HBSOCREC
30254514,01,10.085,HBSHOP
30377179,03,7.687,NHB
30492066,02,28.174,HBSHOP
40624893,03,5.175,HBSHOP
40303461,01,2.799,HBO
30106366,03,1.529,HBO
40557931,01,3.209,NHB
30308728,02,12.352,HBSHOP
40032301,02,32.381,NHB
40429941,01,1.918,NHB
40268528,01,2.682,HBO
40776753,02,43.642,NHB
30258269,02,5.119,HBSHOP
40521085,02,4.457,NHB
30372183,01,5,NHB
40635196,04,0.91,HBO
40440898,01,0.74,NHB
30533358,01,9.36,HBW
40606938,02,4.912,HBW
40365417,01,2.706,NHB
30105161,02,1.571,HBSHOP
30524562,02,3.175,HBSHOP
40436726,02,28.103,NHB
40384129,01,0.581,HBO
40040551,02,19.891,NHB
40569571,02,6.467,HBSHOP
30299264,01,13.481,HBW
30369892,01,1.383,HBSHOP
40041079,01,0.569,NHB
40055046,02,4.755,NHB
30350709,01,5.289,HBSOCREC
30076111,04,1.989,HBSHOP
30214670,02,7.544,HBSHOP
40588329,01,28.8,HBW
30106697,01,62.021,HBO
40706479,01,1.293,HBSHOP
30454258,01,15.004,NHB
30056275,02,4.002,HBW
30214022,02,0.819,HBO
30187101,01,0.288,NHB
30086538,01,1.022,NHB
40497386,01,8.038,NHB
40278157,02,0.19,NHB
40325679,02,1.304,NHB
40788109,01,2.357,NHB
40370910,01,0.556,HBSOCREC
30522380,01,1.282,HBO
40470957,02,4.879,HBW
30306399,04,39.411,NHB
40528983,07,1.455,NHB
30452744,01,2.138,HBO
40786887,02,4.858,HBSHOP
30344095,02,20.686,HBW
40299883,02,3.273,NHB
40766535,01,3.019,HBSHOP
40057159,02,1.912,HBW
30460450,01,2.283,NHB
40498348,01,7.888,HBSHOP
30384942,01,2.098,HBSHOP
40535118,02,14.769,HBSHOP
30419095,03,1.452,HBSHOP
30213152,03,9.311,NHB
40701486,02,0.548,NHB
30017484,02,1.325,NHB
40731029,01,2.981,NHB
40261291,01,1.245,NHB
40448488,02,33.604,NHB
40233225,02,28.583,NHB
30537896,01,6.011,HBSHOP
40469632,02,0.28,NHB
30398791,03,16.321,HBW
40631251,03,2.766,HBO
40605337,01,3.615,HBSOCREC
30212474,04,5.844,NHB
30539093,02,0.053,HBSOCREC
40635418,03,1.752,NHB
40428007,01,9.975,NHB
30101476,01,7.518,HBSHOP
40562419,01,17.483,HBW
30056320,01,8.425,NHB
40611456,03,3.442,HBO
30540171,01,13.655,HBSHOP
40345908,01,6.633,HBO
40578614,01,17.297,NHB
40763069,04,1.058,HBO
40244430,02,5.604,HBW
30196039,01,2.887,HBO
40068953,01,6.265,HBSOCREC
30492282,02,5.148,HBSHOP
30003650,01,9.318,HBSHOP
40262589,01,2.321,HBSHOP
30512927,02,13.592,HBW
40188534,02,1.859,HBSHOP
30109689,02,1.204,NHB
40228768,02,3.371,HBO
30076434,01,5.985,HBSOCREC
30064640,02,0.665,NHB
30228743,01,21.104,HBSOCREC
30270837,02,5.577,HBW
40750630,04,3.715,NHB
30486305,01,0.15,NHB
40449638,01,3.874,NHB
30036139,01,0.813,HBO
30486484,01,1.522,NHB
30492058,01,15,NHB
30316268,03,9.645,HBSHOP
30167153,02,5.953,NHB
40545303,04,5.809,NHB
30426287,01,8.636,NHB
30131443,01,0.44,HBSHOP
40280253,01,3.767,HBSHOP
30425733,02,4.36,NHB
30029694,01,30.272,HBW
40519055,01,2.454,HBSHOP
30413214,01,7.536,NHB
40762535,02,11.654,NHB
40427554,01,1.357,NHB
40271027,01,5.926,HBW
40617900,02,1.705,HBO
30073215,01,2.2,HBO
40573103,02,1.832,HBSHOP
30130150,03,0.594,NHB
40586328,01,14.845,NHB
30390192,01,3.436,HBSOCREC
40732530,02,0.497,HBO
30407508,01,13.93,NHB
30236576,01,2.047,HBO
30551815,01,2.85,NHB
30166431,01,1.734,HBW
30039270,01,4.414,HBO
30079662,02,14.808,HBO
40509276,01,0.922,NHB
40566978,01,0.61,NHB
30506800,01,4.029,HBO
40754312,01,1.807,NHB
30300029,04,6.565,NHB
30486379,03,3.659,HBSOCREC
40589365,01,1.096,NHB
30079322,04,6.644,HBO
30354941,01,1.691,NHB
30167770,01,0.353,HBSHOP
30435088,02,2.374,HBSHOP
40420790,01,0.263,NHB
30532676,01,2.361,HBO
40526299,02,18.561,NHB
40362081,01,33.522,HBO
40009027,03,18.337,HBO
40311106,01,11.874,NHB
40125081,02,3.795,HBSOCREC
40369926,01,23.03,HBO
30038094,01,35.935,HBW
40713153,01,14.041,HBSHOP
30304789,02,1.079,HBSHOP
30256448,01,4.292,NHB
30101254,01,0.164,HBO
30130036,02,19.455,HBW
30248523,01,2.039,HBSHOP
30371365,01,3.369,NHB
40320600,01,47.952,NHB
40093784,03,2.492,HBO
30048260,08,10.741,HBO
30058605,01,15.722,HBW
30143250,01,4.894,HBSOCREC
30256698,04,9.837,NHB
40259702,02,1.055,HBO
30497062,01,0.227,NHB
30475271,01,13.914,HBO
40744628,01,1.731,NHB
40473094,02,0.95,HBW
40113187,02,1.112,NHB
30307146,02,6.89,NHB
30353598,01,10.377,HBO
40368552,01,1.188,HBW
40504808,01,3.776,HBSHOP
30135356,01,2.502,NHB
40246303,01,9.008,NHB
30388783,02,1.691,HBSOCREC
30417655,01,1.5,HBO
30002315,01,0.486,NHB
30390704,01,0.219,HBSHOP
40738845,01,2.133,NHB
40338957,01,5.547,NHB
30090575,04,33.086,NHB
40087623,02,2.834,HBO
30288734,04,0.378,NHB
40133997,01,8.282,HBW
30322446,01,0.121,NHB
30095499,04,11.203,HBW
30163896,02,3.926,HBSOCREC
30251060,03,2.042,HBO
30064182,05,5.297,HBSHOP
30241145,03,0.431,HBSOCREC
30381205,01,1.274,NHB
30138168,02,2.412,HBO
30416861,03,2.44,HBSOCREC
30535383,03,0.088,HBO
40580122,03,2.337,HBSHOP
30223547,01,0.86,HBSHOP
30278230,01,11.104,HBO
40139879,03,1.702,HBO
30040862,01,19.926,NHB
40672118,03,14.113,NHB
30396777,01,2.683,HBO
40381253,02,3.614,HBO
30338669,01,5.549,NHB
30414111,01,3.554,NHB
40723824,02,23.466,HBW
30182788,02,17.799,HBW
40000505,03,21.757,HBW
40127198,03,22.355,NHB
40178810,01,8.213,HBSHOP
30117431,01,8.221,HBSOCREC
40108072,03,0.7,NHB
30312113,01,0.083,HBO
40209186,04,2.667,HBSOCREC
40668328,01,17.314,HBW
30353445,01,1.092,NHB
40509371,01,0.114,HBSHOP
30425471,02,10.28,HBW
40645753,01,0.056,HBSOCREC
40384004,02,1.573,HBO
30527251,02,13.602,HBW
40555543,01,1.592,HBSHOP
40215453,02,4.559,HBSHOP
40355147,01,0.144,NHB
30487080,02,3.791,HBSHOP
30107526,04,1.254,HBSOCREC
