average,1,2,3,4
1,1.067493828,-0.067276578,0.028640218,-0.028857469
1.1,0.963960528,0.027825083,0.020892015,-0.012677626
1.2,0.870542143,0.109284306,0.018107917,0.002065635
1.3,0.78659854,0.178023757,0.019715978,0.015661725
1.4,0.711489585,0.234966103,0.025144256,0.028400055
1.5,0.644575145,0.281034013,0.033820807,0.040570035
1.6,0.585215088,0.317150152,0.045173686,0.052461075
1.7,0.532769278,0.344237187,0.05863095,0.064362584
1.8,0.486597583,0.363217787,0.073620655,0.076563975
1.9,0.44605987,0.375014618,0.089570856,0.089354656
2,0.410516004,0.380550347,0.105909611,0.103024037
2.1,0.379325854,0.380747642,0.122064975,0.11786153
2.2,0.351849284,0.376529168,0.137465003,0.134156544
2.3,0.327446162,0.368817594,0.151537753,0.15219849
2.4,0.305476354,0.358535587,0.16371128,0.172276778
2.5,0.285299728,0.346605814,0.173413641,0.194680818
2.6,0.266276149,0.333950941,0.180072891,0.21970002
2.7,0.247765483,0.321493636,0.183117086,0.247623795
2.8,0.229127599,0.310156565,0.181974284,0.278741552
2.9,0.209722362,0.300862397,0.176072539,0.313342702
3,0.188909638,0.294533798,0.164839907,0.351716656
3.1,0.166049295,0.292093436,0.147704446,0.394152823
3.2,0.140501199,0.294463976,0.124094211,0.440940614
3.3,0.111625216,0.302568088,0.093437257,0.492369439
3.4,0.078781213,0.317328436,0.055161642,0.548728708
3.5,0.041329058,0.339667689,0.008695421,0.610307832
3.6,-0.001371385,0.370508514,-0.046533349,0.67739622
3.7,-0.049960248,0.410773578,-0.111096614,0.750283283
3.8,-0.105077664,0.461385548,-0.185566315,0.829258431
3.9,-0.167363767,0.523267091,-0.270514399,0.914611075
4,-0.237458691,0.597340874,-0.366512807,1.006630624
